STOP_ID,STOP,LAT,LON
631,GLENSIDE/CLOVERDALE (PARKING LOT),37.61458,-77.501708
632,CROCKETT/STAPLES MILL,37.61512,-77.498443
633,Staples Mill/Amtrak Station,37.616852,-77.498426
634,BREMNER/BALMORAL,37.618292,-77.501136
635,BREMNER/FERNWOOD,37.617495,-77.506021
636,BREMNER/BETH,37.616685,-77.508763
637,BASIE/COUNT,37.615383,-77.515714
638,BETHLEHEM/FOUNTAIN,37.613736,-77.519771
639,BETHLEHEM/FOUNTAIN,37.613599,-77.519879
640,BASIE/COUNT,37.615295,-77.515672
641,BREMNER/BETH,37.616531,-77.508997
642,BREMNER/FERNWOOD,37.617437,-77.505483
643,BREMNER/BALMORAL,37.618173,-77.501355
644,STAPLES MILL/AMTRAK,37.617061,-77.498797
645,STAPLES MILL/CROCKETT,37.614933,-77.499293
646,STAPLES MILL/TALLEY,37.611063,-77.4964
647,STAPLES MILL/TOWNHOUSE,37.606935,-77.495113
648,STAPLES MILL/HAMLET APT,37.604524,-77.49333
649,Libbie/Argus,37.594031,-77.500216
650,LIBBIE/INDIGO,37.592601,-77.500945
651,PEMBERTON/BROAD,37.639509,-77.562161
652,STILLMAN PKY/MAYLAND DR,37.640132,-77.566067
653,BROAD BETWEEN STILLMAN PKY AND PEMBERTON RD,37.641383,-77.562355
654,BROAD/TANELORN,37.63977,-77.558532
655,BROAD/SUNDANCE WAY,37.637873,-77.553748
656,BROAD/TUCKERNUCK,37.636622,-77.550712
657,BROAD/HOMEVIEW,37.634523,-77.545387
658,BROAD/SKIPWITH,37.63237,-77.54003
659,BROAD/CHANTILLY,37.580186,-77.491893
661,BROAD/WESTMORELAND,37.577932,-77.489168
662,BROAD/COMMONWEALTH,37.576938,-77.487952
664,BROAD/MALVERN,37.573043,-77.483223
665,BROAD/LAFAYETTE,37.572075,-77.482123
666,BROAD/HAMILTON,37.570429,-77.480178
668,BROAD/ROSENEATH,37.56787,-77.47716
669,BROAD/TILDEN,37.566618,-77.475658
671,BROAD/BELMONT,37.564675,-77.473337
674,10TH/MARSHALL,37.540721,-77.432685
676,GASKINS/MAYLAND (PARKING LOT),37.638783,-77.573585
678,BROAD/SUMMIT,37.565255,-77.473615
679,BROAD/MACTAVISH,37.566842,-77.475492
680,BROAD/ROSENEATH,37.56797,-77.476827
682,BROAD/HAMILTON,37.570597,-77.479942
683,BROAD/KENT,37.57149,-77.480998
684,BROAD/LAFAYETTE,37.572392,-77.482063
685,BROAD/WESTWOOD,37.573465,-77.483318
687,BROAD/COMMONWEALTH,37.576858,-77.487443
688,BROAD/WESTMORELAND,37.578423,-77.489352
690,BROAD/CHANTILLY,37.580547,-77.491893
691,BROAD/STAPLES MILL,37.581968,-77.493618
692,BROAD/ENTERPRISE PARKWAY,37.624753,-77.529333
693,BROAD/FOUNTAIN SQUARE,37.626838,-77.531782
694,BROAD/CAROUSEL LANE,37.628519,-77.533683
695,BROAD/SKIPWITH,37.632422,-77.539522
696,BROAD/HOMEVIEW,37.634437,-77.544505
697,BROAD/TUCKERNUCK,37.636432,-77.549322
698,BROAD/SUNDANCE WAY,37.638074,-77.553483
699,PARK/SHEPPARD,37.560977,-77.47418
700,PARK/CLEVELAND,37.561858,-77.476905
703,PATTERSON/NANSEMOND,37.562449,-77.482283
705,PATTERSON/HAMILTON,37.564433,-77.486085
707,PATTERSON/MALVERN,37.56601,-77.489168
708,PATTERSON/SAUER,37.56748,-77.49203
710,PATTERSON/WESTMORELAND,37.569635,-77.496185
711,PATTERSON/CHANTILLY,37.571415,-77.49965
712,PATTERSON/SPOKANE,37.572909,-77.502578
713,PATTERSON/HARLAN CIRCLE,37.574035,-77.504751
714,PATTERSON/GREENWAY LANE,37.574973,-77.506502
715,PATTERSON/WILLOW LAWN,37.575603,-77.507948
716,PATTERSON/MATOAKA,37.576637,-77.509878
718,PATTERSON/GRANITE,37.578423,-77.512867
719,PATTERSON/LIBBIE,37.579657,-77.514592
720,PATTERSON/MAPLE,37.58082,-77.51628
721,PATTERSON/ALGOMA,37.581945,-77.517993
723,PATTERSON/PEPPER,37.583985,-77.520973
725,PATTERSON/CHANTECLER,37.586093,-77.524183
726,PATTERSON/HONAKER,37.587715,-77.526467
727,PATTERSON/RIPLEY,37.589352,-77.528928
728,PATTERSON/REGISTER PKWY,37.590845,-77.531098
730,THREE CHOPT/SKIPWITH,37.597107,-77.536583
731,SKIPWITH/PARKLINE,37.600253,-77.537581
732,Skipwith/Forest,37.603679,-77.537685
733,ROLAND HILLS/1602,37.602971,-77.546154
734,SANTA ROSA/FRANKLIN FARMS,37.602235,-77.548232
735,THREE CHOPT/SANTA ROSA,37.6007,-77.548297
736,THREE CHOPT/MICHAELS,37.601179,-77.551691
737,THREE CHOPT/WESTBERRY,37.601788,-77.554407
738,THREE CHOPT/RIDGE,37.603163,-77.559008
739,Three Chopt Rd. at Ridge Elementary School,37.604726,-77.560013
741,THREE CHOPT/FARGO,37.607368,-77.562496
743,FARGO/PARHAM,37.607424,-77.564413
744,STARLING/STARLING CT,37.606622,-77.568148
764,BROOK/BROOKLAND PARK BOULEVARD,37.57207,-77.44913
797,BROOKLAND PARK BOULEVARD/NORTH,37.571582,-77.433172
804,BROOK/BROOKLAND PARK BOULEVARD,37.571832,-77.4494
805,BROOK/SHERWOOD,37.570242,-77.449297
809,OVERBROOK/BROOK,37.565347,-77.44901
810,OVERBROOK/LANGSTON,37.56537,-77.4518
822,MARKEL/BYRD,37.584283,-77.499476
823,BYRD/OLD RICHMOND,37.584543,-77.500908
824,BYRD/FITZHUGH,37.583716,-77.501721
826,9TH/MAIN,37.538421,-77.436012
827,LOMBARDY/KROGERS,37.55568,-77.454638
828,LOMBARDY/W MOORE,37.557837,-77.45266
829,LOMBARDY/ADMIRAL,37.559918,-77.450691
831,BROOK/LOMBARDY,37.563544,-77.448125
837,LABURNUM/FAUQUIER,37.584557,-77.451885
853,HERMITAGE/PALMYRA,37.579209,-77.461488
855,HERMITAGE/MAPLE SHADE LN,37.58208,-77.462037
858,WESTBROOK/CRESTWOOD,37.596457,-77.46167
