ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SORT_ORDER,STOP_ID,STOP,LAT,LON
14,14:14,EAST,340,3108,BROAD/ADAMS,37.545928,-77.442727
14,14:14,EAST,350,91,BROAD/4TH,37.543527,-77.438515
14,14:14,EAST,360,91,BROAD/4TH,37.543527,-77.438515
14,14:14,EAST,370,3057,BROAD/9TH,37.541063,-77.434492
14,14:14,EAST,380,3428,9th/Marshall (Mid-block between Marshall +Broad,37.541163,-77.433362
14,14:14,EAST,390,2635,Transfer Plaza Bay J,37.543394,-77.431354
14,14:14,EAST,400,2635,Transfer Plaza Bay J,37.543394,-77.431354
14,14:14,EAST,410,674,10TH/MARSHALL,37.540721,-77.432685
14,14:14,EAST,420,125,BROAD/9TH,37.54079,-77.433617
14,14:14,EAST,430,3244,BROAD/7TH,37.541538,-77.434838
14,14:14,EAST,440,2684,5TH/GRACE,37.541945,-77.438505
14,14:14,EAST,450,405,5TH/MAIN,37.540595,-77.439752
14,14:14,EAST,460,2473,CARY/6TH,37.538994,-77.44
14,14:14,EAST,470,1148,CARY/8TH,37.538037,-77.43833
